iter	Passed	Remaining
0	2	606
1	3	522
2	4	484
3	6	450
4	7	431
5	8	395
6	9	388
7	10	379
8	11	371
9	32	954
10	34	898
11	35	853
12	36	812
13	37	768
14	46	891
15	55	981
16	64	1075
17	66	1040
18	68	1014
19	71	1006
20	73	977
21	74	938
22	76	916
23	77	886
24	82	909
25	84	894
26	85	866
27	87	848
28	89	833
29	91	819
30	93	809
31	94	792
32	96	781
33	97	762
34	99	753
35	101	741
36	102	730
37	104	718
38	108	725
39	113	736
40	118	746
41	119	736
42	121	726
43	123	717
44	124	708
45	127	701
46	128	693
47	130	685
48	131	675
49	133	667
50	134	658
51	136	650
52	138	644
53	140	637
54	141	632
55	143	625
56	144	615
57	148	620
58	150	614
59	152	609
60	154	605
61	155	598
62	157	593
63	159	587
64	162	586
65	164	582
66	166	577
67	167	570
68	168	565
69	170	561
70	172	557
71	175	555
72	183	570
73	186	570
74	189	568
75	191	563
76	193	559
77	194	554
78	197	551
79	197	544
80	198	537
81	204	542
82	205	538
83	206	531
84	208	526
85	209	522
86	211	517
87	213	513
88	214	509
89	216	505
90	218	501
91	220	497
92	221	493
93	223	489
94	225	485
95	226	482
96	228	479
97	230	475
98	232	471
99	233	467
100	235	463
101	236	459
102	238	455
103	239	452
104	241	449
105	244	446
106	245	442
107	247	439
108	248	436
109	250	432
110	252	429
111	253	425
112	255	422
113	257	419
114	258	415
115	259	412
116	261	408
117	262	405
118	264	401
119	264	397
120	266	394
121	268	391
122	269	388
123	271	384
124	272	381
125	274	378
126	275	375
127	277	372
128	279	370
129	280	367
130	282	364
131	284	361
132	285	358
133	286	355
134	288	352
135	290	350
136	292	347
137	293	344
138	295	342
139	296	339
140	298	336
141	299	333
142	301	331
143	303	328
144	305	326
145	307	323
146	308	321
147	310	319
148	312	316
149	313	313
150	315	311
151	317	308
152	318	305
153	319	302
154	321	300
155	322	297
156	324	295
157	325	292
158	327	290
159	330	288
160	332	286
161	334	284
162	335	282
163	337	279
164	338	277
165	340	274
166	341	272
167	343	269
168	345	267
169	346	265
170	348	262
171	349	260
172	351	258
173	353	255
174	354	253
175	356	251
176	358	248
177	360	246
178	361	244
179	363	242
180	365	240
181	366	237
182	368	235
183	369	232
184	371	230
185	373	228
186	374	226
187	376	224
188	378	222
189	379	219
190	381	217
191	382	215
192	384	212
193	385	210
194	387	208
195	388	206
196	390	204
197	391	201
198	393	199
199	394	197
200	396	195
201	397	193
202	399	190
203	401	189
204	402	186
205	404	184
206	405	182
207	407	180
208	408	178
209	410	175
210	412	173
211	413	171
212	415	169
213	416	167
214	418	165
215	420	163
216	421	161
217	423	159
218	424	157
219	426	155
220	428	153
221	429	151
222	431	148
223	432	146
224	434	144
225	435	142
226	437	140
227	439	138
228	440	136
229	442	134
230	444	132
231	445	130
232	447	128
233	448	126
234	450	124
235	452	122
236	453	120
237	455	118
238	457	116
239	459	114
240	461	112
241	463	111
242	465	109
243	466	107
244	468	105
245	470	103
246	471	101
247	473	99
248	475	97
249	477	95
250	479	93
251	484	92
252	488	90
253	490	88
254	491	86
255	493	84
256	495	82
257	496	80
258	497	78
259	499	76
260	501	75
261	503	73
262	504	71
263	506	69
264	508	67
265	512	65
266	514	63
267	519	61
268	520	60
269	522	58
270	523	56
271	525	54
272	527	52
273	529	50
274	531	48
275	532	46
276	534	44
277	536	42
278	537	40
279	539	38
280	541	36
281	543	34
282	544	32
283	546	30
284	548	28
285	550	26
286	551	24
287	553	23
288	554	21
289	556	19
290	558	17
291	559	15
292	564	13
293	566	11
294	568	9
295	569	7
296	571	5
297	573	3
298	575	1
299	576	0
